,sample
1363,PLA2G6
1364,PLA2G7
1365,RP11-102N11.1
1366,PLA2G5
1367,PLA2G3
1368,GDPGP1
1369,RP11-78I14.1
1370,RN7SL717P
1371,CCDC77
1372,KRTAP1-3
1373,KRTAP1-4
1374,CCDC73
1375,CCDC70
1376,CCDC71
1377,AC016831.7
1378,RP11-787B4.2
1379,AC016831.5
1380,AC016831.3
1381,RP11-626G11.1
1382,CCDC78
1383,CCDC79
1384,RP11-363G10.3
1385,HIST3H2BB
1386,RP11-486F17.1
1387,HIST3H2BA
1388,RP11-258C19.4
1389,SNORD4B
1390,SNORD4A
